0,0,0,0,0,0,0,0,23,47,46,93,67,33,72,63,56,48,13,0,0,0,0,0,0
0,0,0,0,0,0,25,82,95,40,158,163,180,175,117,49,45,61,36,5,0,0,0,0,0
0,0,0,0,0,37,93,47,22,167,210,154,156,202,179,207,135,46,66,80,44,2,0,0,0
0,0,0,0,27,65,13,176,168,183,201,183,205,186,171,202,127,57,0,10,160,36,0,0,0
0,0,0,50,55,0,161,191,156,199,189,209,194,188,105,63,71,33,11,22,35,144,57,0,0
0,0,26,79,27,190,198,203,116,194,192,187,191,149,35,0,12,64,18,25,33,61,92,0,0
0,8,71,29,199,194,194,191,31,205,185,194,164,48,124,6,26,84,4,70,24,11,114,24,0
0,46,75,162,196,181,187,199,83,178,184,156,78,11,40,17,133,41,0,0,0,0,133,85,0
0,96,79,202,203,116,173,198,109,104,152,86,107,92,2,13,62,3,0,0,26,20,7,181,0
21,134,113,203,197,165,29,79,70,44,86,62,175,205,174,0,2,2,0,31,20,12,55,158,5
39,47,185,207,205,188,169,24,150,99,122,120,74,83,155,116,56,15,3,28,21,14,182,58,38
55,34,216,211,206,194,157,66,227,134,118,51,109,26,47,173,125,99,17,0,33,12,197,75,46
69,82,210,206,203,191,167,157,163,100,69,90,97,11,0,61,95,180,152,7,1,78,188,98,59
84,111,196,204,196,195,189,196,148,174,123,3,29,116,2,0,26,38,177,53,0,123,183,160,61
131,126,193,199,200,179,185,162,88,203,198,25,162,101,68,66,3,18,59,150,22,128,177,186,70
137,129,191,197,134,37,43,19,49,201,109,73,255,152,34,45,70,19,18,83,77,151,174,172,65
110,137,177,191,35,0,48,24,0,14,101,52,217,86,0,222,255,255,13,1,70,184,179,186,52
82,132,174,181,0,129,255,160,250,244,39,255,255,226,0,255,251,252,135,14,145,175,193,180,0
34,102,179,174,1,255,254,255,253,227,130,252,248,255,73,185,244,236,255,25,218,182,191,33,0
0,84,33,108,91,255,255,155,226,206,129,250,254,251,133,67,255,242,255,40,198,196,116,0,0
0,44,18,10,131,254,238,232,251,154,100,255,150,232,50,12,114,255,255,25,186,191,39,0,0
0,1,83,3,120,255,253,255,255,45,92,213,27,187,123,164,136,0,0,0,91,183,0,0,0
0,0,44,99,47,56,141,143,49,214,102,255,205,252,122,43,36,89,42,75,227,5,2,0,0
0,0,0,33,207,137,39,65,168,46,61,74,207,104,50,104,73,28,65,80,1,0,0,0,0
0,0,0,0,54,147,153,74,44,81,69,76,180,93,75,84,80,73,66,27,0,0,0,0,0
